订单号,用户ID,时间,金额,退款,商品
ORD000029,U0029,2024/11/11 20:09:11,129.0,否,花西子蜜粉饼
ORD000030,U0030,2024/11/11 20:09:13,129.0,否,花西子蜜粉饼
ORD000031,U0031,2024/11/11 20:09:15,129.0,否,花西子蜜粉饼
ORD000032,U0032,2024/11/11 20:09:17,129.0,否,花西子蜜粉饼
ORD000033,U0033,2024/11/11 20:09:19,129.0,否,花西子蜜粉饼
ORD000034,U0034,2024/11/11 20:09:21,129.0,否,花西子蜜粉饼
ORD000035,U0035,2024/11/11 20:09:23,129.0,否,花西子蜜粉饼
ORD000036,U0036,2024/11/11 20:09:25,129.0,否,花西子蜜粉饼
ORD000037,U0037,2024/11/11 20:09:33,129.0,否,花西子蜜粉饼
ORD000038,U0038,2024/11/11 20:10:03,129.0,否,花西子蜜粉饼
ORD000039,U0039,2024/11/11 20:10:05,129.0,否,花西子蜜粉饼
ORD_REF000329,U0039,2024/11/11 20:10:06,129.0,退款,花西子蜜粉饼
ORD000040,U0040,2024/11/11 20:10:07,129.0,否,花西子蜜粉饼
ORD000041,U0041,2024/11/11 20:10:33,129.0,否,花西子蜜粉饼
ORD000042,U0042,2024/11/11 20:10:35,129.0,否,花西子蜜粉饼
ORD000043,U0043,2024/11/11 20:12:03,59.9,否,完美日记唇釉
ORD000044,U0044,2024/11/11 20:12:05,59.9,否,完美日记唇釉
ORD000045,U0045,2024/11/11 20:12:07,59.9,否,完美日记唇釉
ORD000046,U0046,2024/11/11 20:12:09,59.9,否,完美日记唇釉
ORD000047,U0047,2024/11/11 20:12:11,59.9,否,完美日记唇釉
ORD000048,U0048,2024/11/11 20:12:13,59.9,否,完美日记唇釉
ORD000049,U0049,2024/11/11 20:12:15,59.9,否,完美日记唇釉
ORD000050,U0050,2024/11/11 20:12:17,59.9,否,完美日记唇釉
ORD000051,U0051,2024/11/11 20:12:19,59.9,否,完美日记唇釉
ORD000052,U0052,2024/11/11 20:12:21,59.9,否,完美日记唇釉
ORD000053,U0053,2024/11/11 20:13:33,59.9,否,完美日记唇釉
ORD000054,U0054,2024/11/11 20:13:35,59.9,否,完美日记唇釉
ORD000055,U0055,2024/11/11 20:13:37,59.9,否,完美日记唇釉
ORD000056,U0056,2024/11/11 20:13:39,59.9,否,完美日记唇釉
ORD000057,U0057,2024/11/11 20:13:41,59.9,否,完美日记唇釉
ORD000058,U0058,2024/11/11 20:14:33,59.9,否,完美日记唇釉
ORD000059,U0059,2024/11/11 20:14:35,59.9,否,完美日记唇釉
ORD000060,U0060,2024/11/11 20:14:37,59.9,否,完美日记唇釉
ORD000061,U0061,2024/11/11 20:14:39,59.9,否,完美日记唇釉
ORD000062,U0062,2024/11/11 20:15:33,59.9,否,完美日记唇釉
ORD000063,U0063,2024/11/11 20:15:35,59.9,否,完美日记唇釉
ORD000064,U0064,2024/11/11 20:15:37,59.9,否,完美日记唇釉
ORD000065,U0065,2024/11/11 20:15:39,59.9,否,完美日记唇釉
ORD000066,U0066,2024/11/11 20:15:41,59.9,否,完美日记唇釉
ORD000067,U0067,2024/11/11 20:15:43,59.9,否,完美日记唇釉
ORD000068,U0068,2024/11/11 20:16:03,59.9,否,完美日记唇釉
ORD000069,U0069,2024/11/11 20:16:05,59.9,否,完美日记唇釉
ORD000070,U0070,2024/11/11 20:16:07,59.9,否,完美日记唇釉
ORD000071,U0071,2024/11/11 20:16:33,59.9,否,完美日记唇釉
ORD000072,U0072,2024/11/11 20:16:35,59.9,否,完美日记唇釉
ORD000073,U0073,2024/11/11 20:17:03,59.9,否,完美日记唇釉
ORD_REF000317,U0073,2024/11/11 20:17:04,59.9,退款,完美日记唇釉
ORD000074,U0074,2024/11/11 20:17:05,59.9,否,完美日记唇釉
ORD000075,U0075,2024/11/11 20:17:33,59.9,否,完美日记唇釉
ORD000076,U0076,2024/11/11 20:17:35,59.9,否,完美日记唇釉
ORD000077,U0077,2024/11/11 20:19:03,239.0,否,珀莱雅精华液
ORD000078,U0078,2024/11/11 20:19:05,239.0,否,珀莱雅精华液
ORD000079,U0079,2024/11/11 20:19:07,239.0,否,珀莱雅精华液
ORD000080,U0080,2024/11/11 20:19:09,239.0,否,珀莱雅精华液
ORD000081,U0081,2024/11/11 20:19:11,239.0,否,珀莱雅精华液
ORD000082,U0082,2024/11/11 20:19:13,239.0,否,珀莱雅精华液
ORD000083,U0083,2024/11/11 20:19:15,239.0,否,珀莱雅精华液
ORD000084,U0084,2024/11/11 20:19:17,239.0,否,珀莱雅精华液
ORD000085,U0085,2024/11/11 20:19:19,239.0,否,珀莱雅精华液
ORD000086,U0086,2024/11/11 20:19:21,239.0,否,珀莱雅精华液
ORD000087,U0087,2024/11/11 20:20:33,239.0,否,珀莱雅精华液
ORD000088,U0088,2024/11/11 20:20:35,239.0,否,珀莱雅精华液
ORD000089,U0089,2024/11/11 20:20:37,239.0,否,珀莱雅精华液
ORD000090,U0090,2024/11/11 20:20:39,239.0,否,珀莱雅精华液
ORD000091,U0091,2024/11/11 20:21:33,239.0,否,珀莱雅精华液
ORD000092,U0092,2024/11/11 20:21:35,239.0,否,珀莱雅精华液
ORD000093,U0093,2024/11/11 20:21:37,239.0,否,珀莱雅精华液
ORD000094,U0094,2024/11/11 20:21:39,239.0,否,珀莱雅精华液
ORD000095,U0095,2024/11/11 20:22:33,239.0,否,珀莱雅精华液
ORD000096,U0096,2024/11/11 20:22:35,239.0,否,珀莱雅精华液
ORD000097,U0097,2024/11/11 20:22:37,239.0,否,珀莱雅精华液
ORD000098,U0098,2024/11/11 20:22:39,239.0,否,珀莱雅精华液
ORD000099,U0099,2024/11/11 20:22:41,239.0,否,珀莱雅精华液
ORD000100,U0100,2024/11/11 20:22:43,239.0,否,珀莱雅精华液
ORD000101,U0101,2024/11/11 20:23:03,239.0,否,珀莱雅精华液
ORD000102,U0102,2024/11/11 20:23:05,239.0,否,珀莱雅精华液
ORD000103,U0103,2024/11/11 20:23:07,239.0,否,珀莱雅精华液
ORD000104,U0104,2024/11/11 20:23:33,239.0,否,珀莱雅精华液
ORD000105,U0105,2024/11/11 20:23:35,239.0,否,珀莱雅精华液
ORD000106,U0106,2024/11/11 20:24:03,239.0,否,珀莱雅精华液
ORD000107,U0107,2024/11/11 20:24:05,239.0,否,珀莱雅精华液
ORD_REF000319,U0107,2024/11/11 20:24:06,239.0,退款,珀莱雅精华液
ORD000108,U0108,2024/11/11 20:24:33,239.0,否,珀莱雅精华液
ORD000109,U0109,2024/11/11 20:24:35,239.0,否,珀莱雅精华液
ORD000110,U0110,2024/11/11 20:26:03,199.0,否,优衣库连衣裙
ORD000111,U0111,2024/11/11 20:26:05,199.0,否,优衣库连衣裙
ORD000112,U0112,2024/11/11 20:26:07,199.0,否,优衣库连衣裙
ORD000113,U0113,2024/11/11 20:26:09,199.0,否,优衣库连衣裙
ORD000114,U0114,2024/11/11 20:26:11,199.0,否,优衣库连衣裙
ORD_REF000324,U0114,2024/11/11 20:26:12,199.0,退款,优衣库连衣裙
ORD000115,U0115,2024/11/11 20:26:13,199.0,否,优衣库连衣裙
ORD000116,U0116,2024/11/11 20:26:15,199.0,否,优衣库连衣裙
ORD000117,U0117,2024/11/11 20:26:17,199.0,否,优衣库连衣裙
ORD000118,U0118,2024/11/11 20:26:19,199.0,否,优衣库连衣裙
ORD000119,U0119,2024/11/11 20:26:21,199.0,否,优衣库连衣裙
ORD000120,U0120,2024/11/11 20:27:33,199.0,否,优衣库连衣裙
ORD000121,U0121,2024/11/11 20:27:35,199.0,否,优衣库连衣裙
ORD000122,U0122,2024/11/11 20:27:37,199.0,否,优衣库连衣裙
ORD000123,U0123,2024/11/11 20:27:39,199.0,否,优衣库连衣裙
ORD000124,U0124,2024/11/11 20:28:33,199.0,否,优衣库连衣裙
ORD000125,U0125,2024/11/11 20:28:35,199.0,否,优衣库连衣裙
ORD000126,U0126,2024/11/11 20:28:37,199.0,否,优衣库连衣裙
ORD000127,U0127,2024/11/11 20:29:33,199.0,否,优衣库连衣裙
ORD000128,U0128,2024/11/11 20:29:35,199.0,否,优衣库连衣裙
ORD000129,U0129,2024/11/11 20:29:37,199.0,否,优衣库连衣裙
ORD000130,U0130,2024/11/11 20:29:39,199.0,否,优衣库连衣裙
ORD000131,U0131,2024/11/11 20:30:03,199.0,否,优衣库连衣裙
ORD000132,U0132,2024/11/11 20:30:33,199.0,否,优衣库连衣裙
ORD000133,U0133,2024/11/11 20:30:35,199.0,否,优衣库连衣裙
ORD_REF000328,U0133,2024/11/11 20:30:36,199.0,退款,优衣库连衣裙
ORD000134,U0134,2024/11/11 20:30:37,199.0,否,优衣库连衣裙
ORD000135,U0135,2024/11/11 20:30:39,199.0,否,优衣库连衣裙
ORD000136,U0136,2024/11/11 20:30:41,199.0,否,优衣库连衣裙
ORD000137,U0137,2024/11/11 20:30:43,199.0,否,优衣库连衣裙
ORD000138,U0138,2024/11/11 20:30:45,199.0,否,优衣库连衣裙
ORD000139,U0139,2024/11/11 20:30:47,199.0,否,优衣库连衣裙
ORD000140,U0140,2024/11/11 20:30:49,199.0,否,优衣库连衣裙
ORD000141,U0141,2024/11/11 20:30:51,199.0,否,优衣库连衣裙
ORD000142,U0142,2024/11/11 20:31:03,199.0,否,优衣库连衣裙
ORD000143,U0143,2024/11/11 20:31:05,199.0,否,优衣库连衣裙
ORD000144,U0144,2024/11/11 20:31:33,199.0,否,优衣库连衣裙
ORD000145,U0145,2024/11/11 20:33:03,499.0,否,波司登羽绒服
ORD000146,U0146,2024/11/11 20:33:05,499.0,否,波司登羽绒服
ORD000147,U0147,2024/11/11 20:33:07,499.0,否,波司登羽绒服
ORD000148,U0148,2024/11/11 20:33:09,499.0,否,波司登羽绒服
ORD000149,U0149,2024/11/11 20:33:11,499.0,否,波司登羽绒服
ORD000150,U0150,2024/11/11 20:33:13,499.0,否,波司登羽绒服
ORD000151,U0151,2024/11/11 20:33:15,499.0,否,波司登羽绒服
ORD000152,U0152,2024/11/11 20:33:17,499.0,否,波司登羽绒服
ORD000153,U0153,2024/11/11 20:33:19,499.0,否,波司登羽绒服
ORD000154,U0154,2024/11/11 20:33:21,499.0,否,波司登羽绒服
ORD000155,U0155,2024/11/11 20:34:33,499.0,否,波司登羽绒服
ORD000156,U0156,2024/11/11 20:34:35,499.0,否,波司登羽绒服
ORD000157,U0157,2024/11/11 20:34:37,499.0,否,波司登羽绒服
ORD000158,U0158,2024/11/11 20:34:39,499.0,否,波司登羽绒服
ORD000159,U0159,2024/11/11 20:34:41,499.0,否,波司登羽绒服
ORD000160,U0160,2024/11/11 20:35:33,499.0,否,波司登羽绒服
ORD000161,U0161,2024/11/11 20:35:35,499.0,否,波司登羽绒服
ORD000162,U0162,2024/11/11 20:35:37,499.0,否,波司登羽绒服
ORD000163,U0163,2024/11/11 20:35:39,499.0,否,波司登羽绒服
ORD000164,U0164,2024/11/11 20:36:33,499.0,否,波司登羽绒服
ORD000165,U0165,2024/11/11 20:36:35,499.0,否,波司登羽绒服
ORD000166,U0166,2024/11/11 20:36:37,499.0,否,波司登羽绒服
ORD000167,U0167,2024/11/11 20:36:39,499.0,否,波司登羽绒服
ORD000168,U0168,2024/11/11 20:36:41,499.0,否,波司登羽绒服
ORD000169,U0169,2024/11/11 20:37:03,499.0,否,波司登羽绒服
ORD000170,U0170,2024/11/11 20:37:05,499.0,否,波司登羽绒服
ORD000171,U0171,2024/11/11 20:37:33,499.0,否,波司登羽绒服
ORD_REF000321,U0171,2024/11/11 20:37:34,499.0,退款,波司登羽绒服
ORD000172,U0172,2024/11/11 20:38:03,499.0,否,波司登羽绒服
ORD000173,U0173,2024/11/11 20:38:05,499.0,否,波司登羽绒服
ORD000174,U0174,2024/11/11 20:38:33,499.0,否,波司登羽绒服
ORD_REF000320,U0174,2024/11/11 20:38:34,499.0,退款,波司登羽绒服
ORD000175,U0175,2024/11/11 20:38:35,499.0,否,波司登羽绒服
ORD000176,U0176,2024/11/11 20:40:03,169.0,否,蕉内内衣
ORD000177,U0177,2024/11/11 20:40:05,169.0,否,蕉内内衣
ORD000178,U0178,2024/11/11 20:40:07,169.0,否,蕉内内衣
ORD000179,U0179,2024/11/11 20:40:09,169.0,否,蕉内内衣
ORD000180,U0180,2024/11/11 20:40:11,169.0,否,蕉内内衣
ORD000181,U0181,2024/11/11 20:40:13,169.0,否,蕉内内衣
ORD000182,U0182,2024/11/11 20:40:15,169.0,否,蕉内内衣
ORD000183,U0183,2024/11/11 20:40:17,169.0,否,蕉内内衣
ORD000184,U0184,2024/11/11 20:40:19,169.0,否,蕉内内衣
ORD000185,U0185,2024/11/11 20:40:21,169.0,否,蕉内内衣
ORD000186,U0186,2024/11/11 20:41:33,169.0,否,蕉内内衣
ORD000187,U0187,2024/11/11 20:41:35,169.0,否,蕉内内衣
ORD000188,U0188,2024/11/11 20:41:37,169.0,否,蕉内内衣
ORD000189,U0189,2024/11/11 20:41:39,169.0,否,蕉内内衣
ORD000190,U0190,2024/11/11 20:42:33,169.0,否,蕉内内衣
ORD000191,U0191,2024/11/11 20:42:35,169.0,否,蕉内内衣
ORD000192,U0192,2024/11/11 20:42:37,169.0,否,蕉内内衣
ORD000193,U0193,2024/11/11 20:43:33,169.0,否,蕉内内衣
ORD000194,U0194,2024/11/11 20:43:35,169.0,否,蕉内内衣
ORD000195,U0195,2024/11/11 20:43:37,169.0,否,蕉内内衣
ORD000196,U0196,2024/11/11 20:43:39,169.0,否,蕉内内衣
ORD000197,U0197,2024/11/11 20:44:03,169.0,否,蕉内内衣
ORD000198,U0198,2024/11/11 20:44:33,169.0,否,蕉内内衣
ORD000199,U0199,2024/11/11 20:44:35,169.0,否,蕉内内衣
ORD000200,U0200,2024/11/11 20:44:37,169.0,否,蕉内内衣
ORD000201,U0201,2024/11/11 20:44:39,169.0,否,蕉内内衣
ORD000202,U0202,2024/11/11 20:44:41,169.0,否,蕉内内衣
ORD000203,U0203,2024/11/11 20:44:43,169.0,否,蕉内内衣
ORD000204,U0204,2024/11/11 20:44:45,169.0,否,蕉内内衣
ORD000205,U0205,2024/11/11 20:44:47,169.0,否,蕉内内衣
ORD000206,U0206,2024/11/11 20:44:49,169.0,否,蕉内内衣
ORD000207,U0207,2024/11/11 20:44:51,169.0,否,蕉内内衣
ORD000208,U0208,2024/11/11 20:45:03,169.0,否,蕉内内衣
ORD000209,U0209,2024/11/11 20:45:33,169.0,否,蕉内内衣
ORD000210,U0210,2024/11/11 20:47:03,399.0,否,美的电饭煲
ORD000211,U0211,2024/11/11 20:47:05,399.0,否,美的电饭煲
ORD000212,U0212,2024/11/11 20:47:07,399.0,否,美的电饭煲
ORD000213,U0213,2024/11/11 20:47:09,399.0,否,美的电饭煲
ORD000214,U0214,2024/11/11 20:47:11,399.0,否,美的电饭煲
ORD000215,U0215,2024/11/11 20:47:13,399.0,否,美的电饭煲
ORD000216,U0216,2024/11/11 20:47:15,399.0,否,美的电饭煲
ORD000217,U0217,2024/11/11 20:47:17,399.0,否,美的电饭煲
ORD000218,U0218,2024/11/11 20:47:19,399.0,否,美的电饭煲
ORD000219,U0219,2024/11/11 20:47:21,399.0,否,美的电饭煲
ORD000220,U0220,2024/11/11 20:48:33,399.0,否,美的电饭煲
ORD000221,U0221,2024/11/11 20:48:35,399.0,否,美的电饭煲
ORD000222,U0222,2024/11/11 20:48:37,399.0,否,美的电饭煲
ORD000223,U0223,2024/11/11 20:48:39,399.0,否,美的电饭煲
ORD000224,U0224,2024/11/11 20:48:41,399.0,否,美的电饭煲
ORD000225,U0225,2024/11/11 20:49:33,399.0,否,美的电饭煲
ORD000226,U0226,2024/11/11 20:49:35,399.0,否,美的电饭煲
ORD000227,U0227,2024/11/11 20:49:37,399.0,否,美的电饭煲
ORD000228,U0228,2024/11/11 20:49:39,399.0,否,美的电饭煲
ORD000229,U0229,2024/11/11 20:50:33,399.0,否,美的电饭煲
ORD000230,U0230,2024/11/11 20:50:35,399.0,否,美的电饭煲
ORD000231,U0231,2024/11/11 20:50:37,399.0,否,美的电饭煲
ORD000232,U0232,2024/11/11 20:50:39,399.0,否,美的电饭煲
ORD000233,U0233,2024/11/11 20:50:41,399.0,否,美的电饭煲
ORD000234,U0234,2024/11/11 20:51:03,399.0,否,美的电饭煲
ORD000235,U0235,2024/11/11 20:51:33,399.0,否,美的电饭煲
ORD_REF000326,U0235,2024/11/11 20:51:34,399.0,退款,美的电饭煲
ORD000236,U0236,2024/11/11 20:52:03,399.0,否,美的电饭煲
ORD000237,U0237,2024/11/11 20:52:05,399.0,否,美的电饭煲
ORD000238,U0238,2024/11/11 20:52:07,399.0,否,美的电饭煲
ORD000239,U0239,2024/11/11 20:52:09,399.0,否,美的电饭煲
ORD000240,U0240,2024/11/11 20:52:33,399.0,否,美的电饭煲
ORD000241,U0241,2024/11/11 20:54:03,899.0,否,小米净化器
ORD000242,U0242,2024/11/11 20:54:05,899.0,否,小米净化器
ORD000243,U0243,2024/11/11 20:54:07,899.0,否,小米净化器
ORD000244,U0244,2024/11/11 20:54:09,899.0,否,小米净化器
ORD000245,U0245,2024/11/11 20:54:11,899.0,否,小米净化器
ORD_REF000322,U0245,2024/11/11 20:54:12,899.0,退款,小米净化器
ORD000246,U0246,2024/11/11 20:54:13,899.0,否,小米净化器
ORD000247,U0247,2024/11/11 20:54:15,899.0,否,小米净化器
ORD000248,U0248,2024/11/11 20:54:17,899.0,否,小米净化器
ORD000249,U0249,2024/11/11 20:54:19,899.0,否,小米净化器
ORD000250,U0250,2024/11/11 20:54:21,899.0,否,小米净化器
ORD000251,U0251,2024/11/11 20:55:33,899.0,否,小米净化器
ORD000252,U0252,2024/11/11 20:55:35,899.0,否,小米净化器
ORD000253,U0253,2024/11/11 20:55:37,899.0,否,小米净化器
ORD000254,U0254,2024/11/11 20:55:39,899.0,否,小米净化器
ORD000255,U0255,2024/11/11 20:56:33,899.0,否,小米净化器
ORD000256,U0256,2024/11/11 20:56:35,899.0,否,小米净化器
ORD_REF000331,U0256,2024/11/11 20:56:36,899.0,退款,小米净化器
ORD000257,U0257,2024/11/11 20:56:37,899.0,否,小米净化器
ORD000258,U0258,2024/11/11 20:57:33,899.0,否,小米净化器
ORD000259,U0259,2024/11/11 20:57:35,899.0,否,小米净化器
ORD000260,U0260,2024/11/11 20:57:37,899.0,否,小米净化器
ORD000261,U0261,2024/11/11 20:57:39,899.0,否,小米净化器
ORD000262,U0262,2024/11/11 20:58:03,899.0,否,小米净化器
ORD000263,U0263,2024/11/11 20:58:33,899.0,否,小米净化器
ORD000264,U0264,2024/11/11 20:59:03,899.0,否,小米净化器
ORD000265,U0265,2024/11/11 20:59:05,899.0,否,小米净化器
ORD000266,U0266,2024/11/11 20:59:07,899.0,否,小米净化器
ORD000267,U0267,2024/11/11 20:59:09,899.0,否,小米净化器
ORD000268,U0268,2024/11/11 20:59:33,899.0,否,小米净化器
ORD000269,U0269,2024/11/11 21:01:03,89.9,否,三只松鼠礼盒
ORD000270,U0270,2024/11/11 21:01:05,89.9,否,三只松鼠礼盒
ORD000271,U0271,2024/11/11 21:01:07,89.9,否,三只松鼠礼盒
ORD000272,U0272,2024/11/11 21:01:09,89.9,否,三只松鼠礼盒
ORD000273,U0273,2024/11/11 21:01:11,89.9,否,三只松鼠礼盒
ORD000274,U0274,2024/11/11 21:01:13,89.9,否,三只松鼠礼盒
ORD000275,U0275,2024/11/11 21:01:15,89.9,否,三只松鼠礼盒
ORD_REF000325,U0275,2024/11/11 21:01:16,89.9,退款,三只松鼠礼盒
ORD000276,U0276,2024/11/11 21:01:17,89.9,否,三只松鼠礼盒
ORD000277,U0277,2024/11/11 21:01:19,89.9,否,三只松鼠礼盒
ORD000278,U0278,2024/11/11 21:01:21,89.9,否,三只松鼠礼盒
ORD000279,U0279,2024/11/11 21:02:33,89.9,否,三只松鼠礼盒
ORD000280,U0280,2024/11/11 21:02:35,89.9,否,三只松鼠礼盒
ORD000281,U0281,2024/11/11 21:02:37,89.9,否,三只松鼠礼盒
ORD000282,U0282,2024/11/11 21:02:39,89.9,否,三只松鼠礼盒
ORD000283,U0283,2024/11/11 21:03:33,89.9,否,三只松鼠礼盒
ORD000284,U0284,2024/11/11 21:03:35,89.9,否,三只松鼠礼盒
ORD000285,U0285,2024/11/11 21:03:37,89.9,否,三只松鼠礼盒
ORD000286,U0286,2024/11/11 21:04:33,89.9,否,三只松鼠礼盒
ORD000287,U0287,2024/11/11 21:04:35,89.9,否,三只松鼠礼盒
ORD000288,U0288,2024/11/11 21:04:37,89.9,否,三只松鼠礼盒
ORD000289,U0289,2024/11/11 21:04:39,89.9,否,三只松鼠礼盒
ORD000290,U0290,2024/11/11 21:05:03,89.9,否,三只松鼠礼盒
ORD_REF000330,U0290,2024/11/11 21:05:04,89.9,退款,三只松鼠礼盒
ORD000291,U0291,2024/11/11 21:06:03,89.9,否,三只松鼠礼盒
ORD000292,U0292,2024/11/11 21:06:33,89.9,否,三只松鼠礼盒
ORD000293,U0293,2024/11/11 21:08:03,69.9,否,认养一头牛牛奶
ORD_REF000327,U0293,2024/11/11 21:08:04,69.9,退款,认养一头牛牛奶
ORD000294,U0294,2024/11/11 21:08:05,69.9,否,认养一头牛牛奶
ORD000295,U0295,2024/11/11 21:08:07,69.9,否,认养一头牛牛奶
ORD000296,U0296,2024/11/11 21:08:09,69.9,否,认养一头牛牛奶
ORD_REF000318,U0296,2024/11/11 21:08:10,69.9,退款,认养一头牛牛奶
ORD000297,U0297,2024/11/11 21:08:11,69.9,否,认养一头牛牛奶
ORD000298,U0298,2024/11/11 21:08:13,69.9,否,认养一头牛牛奶
ORD000299,U0299,2024/11/11 21:08:15,69.9,否,认养一头牛牛奶
ORD000300,U0300,2024/11/11 21:08:17,69.9,否,认养一头牛牛奶
ORD000301,U0301,2024/11/11 21:08:19,69.9,否,认养一头牛牛奶
ORD000302,U0302,2024/11/11 21:08:21,69.9,否,认养一头牛牛奶
ORD000303,U0303,2024/11/11 21:09:33,69.9,否,认养一头牛牛奶
ORD000304,U0304,2024/11/11 21:09:35,69.9,否,认养一头牛牛奶
ORD000305,U0305,2024/11/11 21:09:37,69.9,否,认养一头牛牛奶
ORD000306,U0306,2024/11/11 21:09:39,69.9,否,认养一头牛牛奶
ORD000307,U0307,2024/11/11 21:10:33,69.9,否,认养一头牛牛奶
ORD000308,U0308,2024/11/11 21:10:35,69.9,否,认养一头牛牛奶
ORD000309,U0309,2024/11/11 21:10:37,69.9,否,认养一头牛牛奶
ORD000310,U0310,2024/11/11 21:11:33,69.9,否,认养一头牛牛奶
ORD000311,U0311,2024/11/11 21:11:35,69.9,否,认养一头牛牛奶
ORD000312,U0312,2024/11/11 21:11:37,69.9,否,认养一头牛牛奶
ORD000313,U0313,2024/11/11 21:11:39,69.9,否,认养一头牛牛奶
ORD000314,U0314,2024/11/11 21:12:03,69.9,否,认养一头牛牛奶
ORD000315,U0315,2024/11/11 21:13:03,69.9,否,认养一头牛牛奶
ORD000316,U0316,2024/11/11 21:13:33,69.9,否,认养一头牛牛奶
ORD_DUP000332,U0073,2024/11/11 21:15:50,59.9,否,完美日记唇釉
ORD_DUP000341,U0235,2024/11/11 21:17:20,399.0,否,美的电饭煲
ORD_DUP000334,U0107,2024/11/11 21:17:50,239.0,否,珀莱雅精华液
ORD_DUP000338,U0020,2024/11/11 21:18:45,129.0,否,花西子蜜粉饼
ORD_DUP000336,U0171,2024/11/11 21:19:00,499.0,否,波司登羽绒服
ORD_DUP000333,U0296,2024/11/11 21:19:05,69.9,否,认养一头牛牛奶
ORD_DUP000335,U0174,2024/11/11 21:19:10,499.0,否,波司登羽绒服
ORD_DUP000337,U0245,2024/11/11 21:19:25,899.0,否,小米净化器
ORD_DUP000339,U0114,2024/11/11 21:19:35,199.0,否,优衣库连衣裙
ORD_DUP000340,U0275,2024/11/11 21:19:55,89.9,否,三只松鼠礼盒
