订单时间,订单金额,订单号,用户ID,商品名称,商品价格,加购时间,是否退款
2024-11-11 20:45:49,958.04,TB20241111204549606680,USER_00117,波司登轻薄羽绒服,499.0,2024-11-11 20:37:30,否
2024-11-11 20:45:54,115.89,TB20241111204554488571,USER_00145,完美日记唇釉#R09,59.9,2024-11-11 20:36:46,否
2024-11-11 20:47:10,397.76,TB20241111204710494976,USER_00034,美的智能电饭煲,399.0,2024-11-11 20:40:17,否
2024-11-11 20:47:38,379.78,TB20241111204738400009,USER_00140,美的智能电饭煲,399.0,2024-11-11 20:34:21,否
2024-11-11 20:47:55,484.24,TB20241111204755410016,USER_00130,波司登轻薄羽绒服,499.0,2024-11-11 20:39:16,否
2024-11-11 20:48:29,235.34,TB20241111204829167348,USER_00039,珀莱雅双抗精华液,239.0,2024-11-11 20:34:03,否
2024-11-11 20:49:46,791.29,TB20241111204946185884,USER_00072,美的智能电饭煲,399.0,2024-11-11 20:43:58,否
2024-11-11 20:50:26,251.19,TB20241111205026895702,USER_00074,花西子空气蜜粉饼,129.0,2024-11-11 20:33:38,否
2024-11-11 20:50:56,163.55,TB20241111205056393243,USER_00047,蕉内无痕内衣套装,169.0,2024-11-11 20:45:02,否
2024-11-11 20:51:53,67.48,TB20241111205153728437,USER_00125,认养一头牛纯牛奶,69.9,2024-11-11 20:46:41,否
2024-11-11 20:52:03,475.68,TB20241111205203705050,USER_00123,波司登轻薄羽绒服,499.0,2024-11-11 20:41:42,否
2024-11-11 20:52:49,227.88,TB20241111205249132146,USER_00145,珀莱雅双抗精华液,239.0,2024-11-11 20:37:45,否
2024-11-11 20:54:18,163.66,TB20241111205418879414,USER_00070,蕉内无痕内衣套装,169.0,2024-11-11 20:36:24,否
2024-11-11 20:54:25,89.78,TB20241111205425831295,USER_00033,三只松鼠坚果礼盒,89.9,2024-11-11 20:42:54,否
2024-11-11 20:55:35,89.83,TB20241111205535654634,USER_00181,三只松鼠坚果礼盒,89.9,2024-11-11 20:39:14,否
2024-11-11 20:55:35,58.06,TB20241111205535930281,USER_00158,完美日记唇釉#R09,59.9,2024-11-11 20:43:34,否
2024-11-11 20:55:59,162.15,TB20241111205559989227,USER_00016,蕉内无痕内衣套装,169.0,2024-11-11 20:52:39,否
2024-11-11 20:56:40,133.12,TB20241111205640854540,USER_00043,认养一头牛纯牛奶,69.9,2024-11-11 20:48:44,否
2024-11-11 20:57:18,857.13,TB20241111205718401338,USER_00139,小米空气净化器,899.0,2024-11-11 20:44:19,否
2024-11-11 20:57:20,160.92,TB20241111205720230889,USER_00155,蕉内无痕内衣套装,169.0,2024-11-11 20:47:36,否
2024-11-11 20:57:27,162.32,TB20241111205727816751,USER_00042,蕉内无痕内衣套装,169.0,2024-11-11 20:51:23,否
2024-11-11 20:58:13,68.44,TB20241111205813466813,USER_00039,认养一头牛纯牛奶,69.9,2024-11-11 20:54:32,否
2024-11-11 20:58:20,948.18,TB20241111205820664607,USER_00012,波司登轻薄羽绒服,499.0,2024-11-11 20:39:45,否
2024-11-11 21:00:07,236.08,TB20241111210007260265,USER_00131,珀莱雅双抗精华液,239.0,2024-11-11 20:42:45,否
2024-11-11 21:00:12,58.78,TB20241111210012910004,USER_00152,完美日记唇釉#R09,59.9,2024-11-11 20:57:15,否
2024-11-11 21:00:14,68.7,TB20241111210014774079,USER_00184,认养一头牛纯牛奶,69.9,2024-11-11 20:51:43,否
2024-11-11 21:00:31,162.7,TB20241111210031820184,USER_00110,蕉内无痕内衣套装,169.0,2024-11-11 20:41:24,否
2024-11-11 21:01:30,196.13,TB20241111210130118080,USER_00177,优衣库U系列连衣裙,199.0,2024-11-11 20:51:59,否
2024-11-11 21:02:28,234.33,TB20241111210228816318,USER_00044,珀莱雅双抗精华液,239.0,2024-11-11 20:54:12,否
2024-11-11 21:02:33,891.49,TB20241111210233907189,USER_00107,小米空气净化器,899.0,2024-11-11 20:54:09,否
2024-11-11 21:04:33,325.68,TB20241111210433226516,USER_00091,蕉内无痕内衣套装,169.0,2024-11-11 20:58:46,否
2024-11-11 21:04:47,379.47,TB20241111210447940247,USER_00075,美的智能电饭煲,399.0,2024-11-11 20:57:37,否
2024-11-11 21:06:05,87.08,TB20241111210605528625,USER_00157,三只松鼠坚果礼盒,89.9,2024-11-11 20:59:43,否
2024-11-11 21:06:11,57.9,TB20241111210611999398,USER_00121,完美日记唇釉#R09,59.9,2024-11-11 20:52:27,否
2024-11-11 21:06:21,481.24,TB20241111210621608257,USER_00141,波司登轻薄羽绒服,499.0,2024-11-11 20:48:37,否
2024-11-11 21:06:41,461.91,TB20241111210641310548,USER_00024,珀莱雅双抗精华液,239.0,2024-11-11 20:57:47,否
2024-11-11 21:06:54,164.75,TB20241111210654644500,USER_00048,蕉内无痕内衣套装,169.0,2024-11-11 20:48:20,否
2024-11-11 21:06:55,179.44,TB20241111210655790855,USER_00122,三只松鼠坚果礼盒,89.9,2024-11-11 20:51:56,否
2024-11-11 21:07:02,865.16,TB20241111210702903013,USER_00116,小米空气净化器,899.0,2024-11-11 20:53:55,否
2024-11-11 21:07:18,89.9,TB20241111210718197793,USER_00026,三只松鼠坚果礼盒,89.9,2024-11-11 20:50:25,否
2024-11-11 21:08:09,491.69,TB20241111210809576086,USER_00009,波司登轻薄羽绒服,499.0,2024-11-11 20:53:48,否
2024-11-11 21:08:22,166.01,TB20241111210822841995,USER_00183,蕉内无痕内衣套装,169.0,2024-11-11 21:06:37,否
2024-11-11 21:08:31,491.9,TB20241111210831101206,USER_00030,蕉内无痕内衣套装,169.0,2024-11-11 20:57:45,否
2024-11-11 21:09:05,191.66,TB20241111210905711878,USER_00191,优衣库U系列连衣裙,199.0,2024-11-11 20:56:58,是
2024-11-11 21:09:11,135.49,TB20241111210911254739,USER_00050,认养一头牛纯牛奶,69.9,2024-11-11 21:00:35,否
2024-11-11 21:10:13,58.3,TB20241111211013686075,USER_00117,完美日记唇釉#R09,59.9,2024-11-11 20:59:08,否
2024-11-11 21:10:19,397.93,TB20241111211019616554,USER_00030,美的智能电饭煲,399.0,2024-11-11 21:03:32,否
2024-11-11 21:10:46,57.92,TB20241111211046360735,USER_00016,完美日记唇釉#R09,59.9,2024-11-11 20:53:23,否
2024-11-11 21:11:16,122.99,TB20241111211116142213,USER_00090,花西子空气蜜粉饼,129.0,2024-11-11 20:52:05,否
2024-11-11 21:13:30,884.12,TB20241111211330859359,USER_00008,小米空气净化器,899.0,2024-11-11 20:57:20,否
2024-11-11 21:14:20,85.86,TB20241111211420204555,USER_00152,三只松鼠坚果礼盒,89.9,2024-11-11 20:57:16,否
2024-11-11 21:15:01,229.8,TB20241111211501800499,USER_00098,珀莱雅双抗精华液,239.0,2024-11-11 21:03:24,否
2024-11-11 21:15:23,978.39,TB20241111211523767542,USER_00199,波司登轻薄羽绒服,499.0,2024-11-11 21:07:42,是
2024-11-11 21:15:33,58.2,TB20241111211533362529,USER_00154,完美日记唇釉#R09,59.9,2024-11-11 21:08:25,否
2024-11-11 21:16:20,168.61,TB20241111211620100599,USER_00196,蕉内无痕内衣套装,169.0,2024-11-11 20:57:49,否
2024-11-11 21:16:58,488.69,TB20241111211658613425,USER_00186,波司登轻薄羽绒服,499.0,2024-11-11 20:56:59,否
2024-11-11 21:18:52,89.85,TB20241111211852509420,USER_00140,三只松鼠坚果礼盒,89.9,2024-11-11 21:07:20,否
2024-11-11 21:18:59,482.36,TB20241111211859635280,USER_00191,波司登轻薄羽绒服,499.0,2024-11-11 21:14:47,否
2024-11-11 21:19:20,477.28,TB20241111211920919488,USER_00105,珀莱雅双抗精华液,239.0,2024-11-11 21:16:55,否
2024-11-11 21:20:01,68.86,TB20241111212001782535,USER_00111,认养一头牛纯牛奶,69.9,2024-11-11 21:02:49,否
2024-11-11 21:21:49,114.6,TB20241111212149926730,USER_00170,完美日记唇釉#R09,59.9,2024-11-11 21:14:00,否
2024-11-11 21:22:11,488.52,TB20241111212211587575,USER_00054,波司登轻薄羽绒服,499.0,2024-11-11 21:08:45,否
2024-11-11 21:22:19,478.19,TB20241111212219885339,USER_00037,波司登轻薄羽绒服,499.0,2024-11-11 21:15:28,否
2024-11-11 21:22:42,238.77,TB20241111212242291132,USER_00200,珀莱雅双抗精华液,239.0,2024-11-11 21:12:36,否
2024-11-11 21:23:21,765.04,TB20241111212321525800,USER_00174,美的智能电饭煲,399.0,2024-11-11 21:11:32,否
2024-11-11 21:24:01,85.95,TB20241111212401797660,USER_00144,三只松鼠坚果礼盒,89.9,2024-11-11 21:16:18,否
2024-11-11 21:24:09,114.6,TB20241111212409495833,USER_00170,完美日记唇釉#R09,59.9,2024-11-11 21:14:00,否
2024-11-11 21:24:48,489.17,TB20241111212448853252,USER_00197,波司登轻薄羽绒服,499.0,2024-11-11 21:05:29,否
2024-11-11 21:24:50,69.65,TB20241111212450938742,USER_00192,认养一头牛纯牛奶,69.9,2024-11-11 21:07:24,否
2024-11-11 21:25:05,481.89,TB20241111212505237235,USER_00053,波司登轻薄羽绒服,499.0,2024-11-11 21:19:02,是
2024-11-11 21:27:11,232.33,TB20241111212711713762,USER_00121,珀莱雅双抗精华液,239.0,2024-11-11 21:20:54,否
2024-11-11 21:27:24,164.58,TB20241111212724656926,USER_00015,蕉内无痕内衣套装,169.0,2024-11-11 21:08:56,是
2024-11-11 21:28:17,69.7,TB20241111212817508930,USER_00098,认养一头牛纯牛奶,69.9,2024-11-11 21:21:37,否
2024-11-11 21:30:15,1788.29,TB20241111213015674485,USER_00157,小米空气净化器,899.0,2024-11-11 21:21:08,否
2024-11-11 21:30:19,118.79,TB20241111213019160738,USER_00093,完美日记唇釉#R09,59.9,2024-11-11 21:23:28,否
2024-11-11 21:31:18,487.73,TB20241111213118726410,USER_00160,波司登轻薄羽绒服,499.0,2024-11-11 21:24:07,否
2024-11-11 21:31:44,475.24,TB20241111213144932463,USER_00061,波司登轻薄羽绒服,499.0,2024-11-11 21:22:46,否
2024-11-11 21:31:59,491.58,TB20241111213159456331,USER_00008,波司登轻薄羽绒服,499.0,2024-11-11 21:25:07,否
2024-11-11 21:33:29,882.46,TB20241111213329853448,USER_00153,小米空气净化器,899.0,2024-11-11 21:21:33,否
2024-11-11 21:34:28,456.14,TB20241111213428685181,USER_00145,珀莱雅双抗精华液,239.0,2024-11-11 21:28:45,否
2024-11-11 21:34:53,386.66,TB20241111213453654816,USER_00153,美的智能电饭煲,399.0,2024-11-11 21:14:58,否
2024-11-11 21:35:30,196.29,TB20241111213530954628,USER_00199,优衣库U系列连衣裙,199.0,2024-11-11 21:18:56,否
2024-11-11 21:35:56,492.42,TB20241111213556671858,USER_00063,波司登轻薄羽绒服,499.0,2024-11-11 21:22:04,否
2024-11-11 21:36:50,476.74,TB20241111213650651963,USER_00172,珀莱雅双抗精华液,239.0,2024-11-11 21:16:54,否
2024-11-11 21:37:25,164.27,TB20241111213725762055,USER_00161,蕉内无痕内衣套装,169.0,2024-11-11 21:27:30,否
2024-11-11 21:37:48,458.01,TB20241111213748771088,USER_00137,珀莱雅双抗精华液,239.0,2024-11-11 21:29:35,否
2024-11-11 21:38:24,57.43,TB20241111213824643118,USER_00200,完美日记唇釉#R09,59.9,2024-11-11 21:19:12,否
2024-11-11 21:39:00,139.62,TB20241111213900881369,USER_00176,认养一头牛纯牛奶,69.9,2024-11-11 21:20:42,否
2024-11-11 21:39:10,386.27,TB20241111213910755788,USER_00014,美的智能电饭煲,399.0,2024-11-11 21:23:48,否
2024-11-11 21:39:23,1443.04,TB20241111213923519093,USER_00018,波司登轻薄羽绒服,499.0,2024-11-11 21:26:12,否
2024-11-11 21:41:02,321.26,TB20241111214102690341,USER_00193,蕉内无痕内衣套装,169.0,2024-11-11 21:28:14,否
2024-11-11 21:41:12,196.03,TB20241111214112140605,USER_00069,优衣库U系列连衣裙,199.0,2024-11-11 21:32:56,否
2024-11-11 21:42:45,168.75,TB20241111214245378361,USER_00008,蕉内无痕内衣套装,169.0,2024-11-11 21:38:21,否
2024-11-11 21:43:26,324.97,TB20241111214326430776,USER_00197,蕉内无痕内衣套装,169.0,2024-11-11 21:41:49,否
2024-11-11 21:43:57,198.49,TB20241111214357753425,USER_00094,优衣库U系列连衣裙,199.0,2024-11-11 21:25:27,否
2024-11-11 21:46:16,123.94,TB20241111214616862560,USER_00021,花西子空气蜜粉饼,129.0,2024-11-11 21:42:25,否
2024-11-11 21:48:05,384.6,TB20241111214805895667,USER_00057,美的智能电饭煲,399.0,2024-11-11 21:30:34,否
2024-11-11 21:48:30,86.27,TB20241111214830389930,USER_00196,三只松鼠坚果礼盒,89.9,2024-11-11 21:33:28,否
2024-11-11 21:49:38,85.86,TB20241111214938338533,USER_00153,三只松鼠坚果礼盒,89.9,2024-11-11 21:44:57,否
2024-11-11 21:50:52,68.52,TB20241111215052164879,USER_00167,认养一头牛纯牛奶,69.9,2024-11-11 21:40:21,否
2024-11-11 21:51:30,482.6,TB20241111215130994343,USER_00155,波司登轻薄羽绒服,499.0,2024-11-11 21:37:27,否
2024-11-11 21:52:23,1184.57,TB20241111215223259493,USER_00099,美的智能电饭煲,399.0,2024-11-11 21:39:00,否
2024-11-11 21:54:04,191.42,TB20241111215404219946,USER_00006,优衣库U系列连衣裙,199.0,2024-11-11 21:44:04,否
2024-11-11 21:55:00,877.77,TB20241111215500322086,USER_00141,小米空气净化器,899.0,2024-11-11 21:42:28,否
2024-11-11 21:55:15,135.47,TB20241111215515411797,USER_00058,认养一头牛纯牛奶,69.9,2024-11-11 21:37:00,否
2024-11-11 21:55:37,474.13,TB20241111215537854639,USER_00112,波司登轻薄羽绒服,499.0,2024-11-11 21:40:54,否
2024-11-11 21:56:17,975.63,TB20241111215617110139,USER_00042,波司登轻薄羽绒服,499.0,2024-11-11 21:47:10,否
2024-11-11 21:56:27,89.34,TB20241111215627726258,USER_00010,三只松鼠坚果礼盒,89.9,2024-11-11 21:43:42,否
2024-11-11 21:56:50,122.98,TB20241111215650811332,USER_00162,花西子空气蜜粉饼,129.0,2024-11-11 21:54:02,否
2024-11-11 21:57:05,59.16,TB20241111215705185544,USER_00014,完美日记唇釉#R09,59.9,2024-11-11 21:55:08,否
2024-11-11 21:57:07,196.15,TB20241111215707452161,USER_00071,优衣库U系列连衣裙,199.0,2024-11-11 21:51:40,否
2024-11-11 22:01:00,128.49,TB20241111220100703727,USER_00112,花西子空气蜜粉饼,129.0,2024-11-11 21:43:37,否
2024-11-11 22:01:33,168.64,TB20241111220133197251,USER_00072,蕉内无痕内衣套装,169.0,2024-11-11 21:54:09,否
2024-11-11 22:01:45,886.91,TB20241111220145993085,USER_00120,小米空气净化器,899.0,2024-11-11 21:55:39,否
2024-11-11 22:01:47,856.02,TB20241111220147143941,USER_00010,小米空气净化器,899.0,2024-11-11 21:56:59,否
2024-11-11 22:02:11,237.31,TB20241111220211236306,USER_00153,珀莱雅双抗精华液,239.0,2024-11-11 21:58:26,否
2024-11-11 22:02:28,249.39,TB20241111220228941204,USER_00046,花西子空气蜜粉饼,129.0,2024-11-11 21:43:47,否
2024-11-11 22:03:43,198.71,TB20241111220343449709,USER_00165,优衣库U系列连衣裙,199.0,2024-11-11 22:01:45,否
2024-11-11 22:04:32,867.72,TB20241111220432385470,USER_00032,小米空气净化器,899.0,2024-11-11 21:55:53,否
2024-11-11 22:07:30,116.47,TB20241111220730437758,USER_00126,完美日记唇釉#R09,59.9,2024-11-11 21:49:25,否
2024-11-11 22:08:57,779.89,TB20241111220857331251,USER_00138,美的智能电饭煲,399.0,2024-11-11 21:56:29,否
2024-11-11 22:09:00,889.8,TB20241111220900124813,USER_00090,小米空气净化器,899.0,2024-11-11 22:03:41,否
2024-11-11 22:09:59,489.26,TB20241111220959899787,USER_00146,波司登轻薄羽绒服,499.0,2024-11-11 21:54:56,否
2024-11-11 22:10:13,888.34,TB20241111221013437408,USER_00089,小米空气净化器,899.0,2024-11-11 22:02:03,否
2024-11-11 22:10:20,779.89,TB20241111221020464663,USER_00138,美的智能电饭煲,399.0,2024-11-11 21:56:29,否
2024-11-11 22:11:00,858.66,TB20241111221100992512,USER_00096,小米空气净化器,899.0,2024-11-11 21:53:55,否
2024-11-11 22:11:02,379.37,TB20241111221102461551,USER_00096,美的智能电饭煲,399.0,2024-11-11 21:55:03,是
2024-11-11 22:11:24,197.57,TB20241111221124433632,USER_00147,优衣库U系列连衣裙,199.0,2024-11-11 22:02:35,否
2024-11-11 22:12:11,191.32,TB20241111221211575528,USER_00111,优衣库U系列连衣裙,199.0,2024-11-11 22:04:45,否
2024-11-11 22:12:44,497.7,TB20241111221244855053,USER_00143,波司登轻薄羽绒服,499.0,2024-11-11 22:10:06,否
2024-11-11 22:14:11,233.28,TB20241111221411745830,USER_00112,珀莱雅双抗精华液,239.0,2024-11-11 22:00:49,否
2024-11-11 22:15:17,475.89,TB20241111221517716113,USER_00174,波司登轻薄羽绒服,499.0,2024-11-11 21:56:20,否
2024-11-11 22:15:23,189.26,TB20241111221523717024,USER_00058,优衣库U系列连衣裙,199.0,2024-11-11 22:03:51,否
2024-11-11 22:18:30,59.14,TB20241111221830236435,USER_00024,完美日记唇釉#R09,59.9,2024-11-11 22:10:26,否
2024-11-11 22:19:47,229.6,TB20241111221947161483,USER_00105,珀莱雅双抗精华液,239.0,2024-11-11 22:11:10,否
2024-11-11 22:20:04,198.95,TB20241111222004559381,USER_00183,优衣库U系列连衣裙,199.0,2024-11-11 22:06:43,否
2024-11-11 22:21:35,124.82,TB20241111222135323072,USER_00074,花西子空气蜜粉饼,129.0,2024-11-11 22:09:36,否
2024-11-11 22:22:10,1745.4,TB20241111222210492127,USER_00090,小米空气净化器,899.0,2024-11-11 22:13:38,否
2024-11-11 22:22:14,1759.71,TB20241111222214561865,USER_00027,小米空气净化器,899.0,2024-11-11 22:12:19,否
2024-11-11 22:22:18,237.01,TB20241111222218393328,USER_00107,珀莱雅双抗精华液,239.0,2024-11-11 22:09:36,否
2024-11-11 22:22:34,988.23,TB20241111222234178957,USER_00192,波司登轻薄羽绒服,499.0,2024-11-11 22:12:40,否
2024-11-11 22:22:35,161.44,TB20241111222235519902,USER_00023,蕉内无痕内衣套装,169.0,2024-11-11 22:13:19,否
2024-11-11 22:22:37,191.99,TB20241111222237632351,USER_00036,优衣库U系列连衣裙,199.0,2024-11-11 22:06:39,否
2024-11-11 22:24:34,172.2,TB20241111222434161324,USER_00170,三只松鼠坚果礼盒,89.9,2024-11-11 22:17:56,否
2024-11-11 22:25:36,194.73,TB20241111222536906814,USER_00095,优衣库U系列连衣裙,199.0,2024-11-11 22:16:14,否
2024-11-11 22:25:42,385.6,TB20241111222542659543,USER_00167,美的智能电饭煲,399.0,2024-11-11 22:11:54,否
2024-11-11 22:26:07,1759.71,TB20241111222607665497,USER_00027,小米空气净化器,899.0,2024-11-11 22:12:19,否
2024-11-11 22:26:20,176.37,TB20241111222620705397,USER_00076,三只松鼠坚果礼盒,89.9,2024-11-11 22:08:58,否
2024-11-11 22:27:49,59.52,TB20241111222749827712,USER_00195,完美日记唇釉#R09,59.9,2024-11-11 22:18:24,否
2024-11-11 22:29:29,198.34,TB20241111222929356150,USER_00130,优衣库U系列连衣裙,199.0,2024-11-11 22:11:45,是
2024-11-11 22:33:52,488.96,TB20241111223352805188,USER_00127,波司登轻薄羽绒服,499.0,2024-11-11 22:16:51,否
